año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_personas_que_sufrieron_violencia,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_que_sufrieron_violencia
2016,estratificado,mujer,-,-,norte ,-,-,-,,,,
2016,estratificado,mujer,-,-,centro,-,-,-,,,,
2016,estratificado,mujer,-,-,cdmx,-,-,-,,,,
2016,estratificado,mujer,-,-,sur,-,-,-,,,,
2016,estratificado,hombre,-,-,-,primaria o menos ,-,-,,,,
2016,estratificado,hombre,-,-,-,secundaria,-,-,,,,
2016,estratificado,hombre,-,-,-,media,-,-,,,,
2016,estratificado,hombre,-,-,-,superior,-,-,,,,
2016,estratificado,mujer,-,-,-,primaria o menos ,-,-,,,,
2016,estratificado,mujer,-,-,-,secundaria,-,-,,,,
2016,estratificado,mujer,-,-,-,media,-,-,,,,
2016,estratificado,mujer,-,-,-,superior,-,-,,,,
2016,estratificado,hombre,-,-,-,-,bajo,-,,,,
2016,estratificado,hombre,-,-,-,-,medio,-,,,,
2016,estratificado,hombre,-,-,-,-,alto,-,,,,
2016,estratificado,mujer,-,-,-,-,bajo,-,,,,
2016,estratificado,mujer,-,-,-,-,medio,-,,,,
2016,estratificado,mujer,-,-,-,-,alto,-,,,,
2016,estratificado,hombre,-,-,-,-,-,no,,,,
2016,estratificado,hombre,-,-,-,-,-,si,,,,
2016,estratificado,mujer,-,-,-,-,-,no,,,,
2016,estratificado,mujer,-,-,-,-,-,si,,,,
2018,nacional,-,-,-,-,-,-,-,2.2,2.0,2.4,1806000
2018,estratificado,hombre,-,-,-,-,-,-,2.6,2.2,3.0,965000
2018,estratificado,mujer,-,-,-,-,-,-,1.9,1.6,2.2,841000
2018,estratificado,-,20-39,-,-,-,-,-,2.7,2.3,3.2,1007000
2018,estratificado,-,40-59,-,-,-,-,-,2.0,1.7,2.4,594000
2018,estratificado,-,60+,-,-,-,-,-,1.3,.9,1.7,205000
2018,estratificado,-,-,rural,-,-,-,-,1.2,1.0,1.6,217000
2018,estratificado,-,-,urbano,-,-,-,-,2.4,2.2,2.8,1589000
2018,estratificado,-,-,-,norte ,-,-,-,1.3,1.0,1.6,216000
2018,estratificado,-,-,-,centro,-,-,-,2.5,2.0,3.0,709000
2018,estratificado,-,-,-,cdmx,-,-,-,3.7,2.9,4.8,421000
2018,estratificado,-,-,-,sur,-,-,-,1.8,1.5,2.2,459000
2018,estratificado,-,-,-,-,primaria o menos ,-,-,1.6,1.3,2.0,408000
2018,estratificado,-,-,-,-,secundaria,-,-,2.4,2.0,2.9,537000
2018,estratificado,-,-,-,-,media,-,-,2.5,2.0,3.2,452000
2018,estratificado,-,-,-,-,superior,-,-,2.5,2.0,3.2,409000
2018,estratificado,-,-,-,-,-,bajo,-,2.0,1.7,2.4,486000
2018,estratificado,-,-,-,-,-,medio,-,2.6,2.2,3.2,700000
2018,estratificado,-,-,-,-,-,alto,-,1.9,1.6,2.3,620000
2018,estratificado,-,-,-,-,-,-,no,2.1,1.9,2.4,1592000
2018,estratificado,-,-,-,-,-,-,si,3.2,2.2,4.6,214000
2018,estratificado,hombre,20-39,-,-,-,-,-,3.4,2.8,4.1,576000
2018,estratificado,hombre,40-59,-,-,-,-,-,2.2,1.7,2.8,290000
2018,estratificado,hombre,60+,-,-,-,-,-,1.4,1.0,2.0,98000
2018,estratificado,mujer,20-39,-,-,-,-,-,2.2,1.7,2.8,431000
2018,estratificado,mujer,40-59,-,-,-,-,-,1.9,1.5,2.4,303000
2018,estratificado,mujer,60+,-,-,-,-,-,1.2,0.7,1.8,106000
2018,estratificado,hombre,-,rural,-,-,-,-,1.3,0.9,1.8,107000
2018,estratificado,hombre,-,urbano,-,-,-,-,2.9,2.5,3.4,857000
2018,estratificado,mujer,-,rural,-,-,-,-,1.2,0.8,1.7,109000
2018,estratificado,mujer,-,urbano,-,-,-,-,2.0,1.7,2.4,732000
2018,estratificado,hombre,-,-,norte ,-,-,-,1.8,1.4,2.3,139000
2018,estratificado,hombre,-,-,centro,-,-,-,2.8,2.2,3.6,372000
2018,estratificado,hombre,-,-,cdmx,-,-,-,4.5,3.0,6.5,224000
2018,estratificado,hombre,-,-,sur,-,-,-,2.0,1.7,2.5,230000
2018,estratificado,mujer,-,-,norte ,-,-,-,0.8,0.6,1.2,78000
2018,estratificado,mujer,-,-,centro,-,-,-,2.2,1.6,2.9,337000
2018,estratificado,mujer,-,-,cdmx,-,-,-,3.1,2.2,4.4,197000
2018,estratificado,mujer,-,-,sur,-,-,-,1.6,1.3,2.1,229000
2018,estratificado,hombre,-,-,-,primaria o menos ,-,-,2.0,1.5,2.6,221000
2018,estratificado,hombre,-,-,-,secundaria,-,-,3.1,2.4,4.0,317000
2018,estratificado,hombre,-,-,-,media,-,-,2.6,1.9,3.6,212000
2018,estratificado,hombre,-,-,-,superior,-,-,2.7,1.9,3.7,214000
2018,estratificado,mujer,-,-,-,primaria o menos ,-,-,1.3,.9,1.7,187000
2018,estratificado,mujer,-,-,-,secundaria,-,-,1.8,1.3,2.4,220000
2018,estratificado,mujer,-,-,-,media,-,-,2.4,1.7,3.4,240000
2018,estratificado,mujer,-,-,-,superior,-,-,2.4,1.7,3.3,194000
2018,estratificado,hombre,-,-,-,-,bajo,-,2.2,1.7,2.8,240000
2018,estratificado,hombre,-,-,-,-,medio,-,3.3,2.6,4.2,397000
2018,estratificado,hombre,-,-,-,-,alto,-,2.2,1.7,2.9,328000
2018,estratificado,mujer,-,-,-,-,bajo,-,1.9,1.4,2.5,246000
2018,estratificado,mujer,-,-,-,-,medio,-,2.1,1.6,2.8,303000
2018,estratificado,mujer,-,-,-,-,alto,-,1.7,1.3,2.2,292000
2018,estratificado,hombre,-,-,-,-,-,no,,,,
2018,estratificado,hombre,-,-,-,-,-,si,,,,
2018,estratificado,mujer,-,-,-,-,-,no,,,,
2018,estratificado,mujer,-,-,-,-,-,si,,,,
2020,nacional,-,-,-,-,-,-,-,,,,
2020,estratificado,hombre,-,-,-,-,-,-,,,,
2020,estratificado,mujer,-,-,-,-,-,-,,,,
2020,estratificado,-,20-39,-,-,-,-,-,,,,
2020,estratificado,-,40-59,-,-,-,-,-,,,,
2020,estratificado,-,60+,-,-,-,-,-,,,,
2020,estratificado,-,-,rural,-,-,-,-,,,,
2020,estratificado,-,-,urbano,-,-,-,-,,,,
2020,estratificado,-,-,-,norte ,-,-,-,,,,
2020,estratificado,-,-,-,centro,-,-,-,,,,
2020,estratificado,-,-,-,cdmx,-,-,-,,,,
2020,estratificado,-,-,-,sur,-,-,-,,,,
2020,estratificado,-,-,-,-,primaria o menos ,-,-,,,,
2020,estratificado,-,-,-,-,secundaria,-,-,,,,
2020,estratificado,-,-,-,-,media,-,-,,,,
2020,estratificado,-,-,-,-,superior,-,-,,,,
2020,estratificado,-,-,-,-,-,bajo,-,,,,
2020,estratificado,-,-,-,-,-,medio,-,,,,
2020,estratificado,-,-,-,-,-,alto,-,,,,
2020,estratificado,-,-,-,-,-,-,no,,,,
2020,estratificado,-,-,-,-,-,-,si,,,,
2020,estratificado,hombre,20-39,-,-,-,-,-,,,,
2020,estratificado,hombre,40-59,-,-,-,-,-,,,,
2020,estratificado,hombre,60+,-,-,-,-,-,,,,
2020,estratificado,mujer,20-39,-,-,-,-,-,,,,
2020,estratificado,mujer,40-59,-,-,-,-,-,,,,
2020,estratificado,mujer,60+,-,-,-,-,-,,,,
2020,estratificado,hombre,-,rural,-,-,-,-,,,,
2020,estratificado,hombre,-,urbano,-,-,-,-,,,,
2020,estratificado,mujer,-,rural,-,-,-,-,,,,
2020,estratificado,mujer,-,urbano,-,-,-,-,,,,
2020,estratificado,hombre,-,-,norte ,-,-,-,,,,
2020,estratificado,hombre,-,-,centro,-,-,-,,,,
2020,estratificado,hombre,-,-,cdmx,-,-,-,,,,
2020,estratificado,hombre,-,-,sur,-,-,-,,,,
2020,estratificado,mujer,-,-,norte ,-,-,-,,,,
2020,estratificado,mujer,-,-,centro,-,-,-,,,,
2020,estratificado,mujer,-,-,cdmx,-,-,-,,,,
2020,estratificado,mujer,-,-,sur,-,-,-,,,,
2020,estratificado,hombre,-,-,-,primaria o menos ,-,-,,,,
2020,estratificado,hombre,-,-,-,secundaria,-,-,,,,
2020,estratificado,hombre,-,-,-,media,-,-,,,,
2020,estratificado,hombre,-,-,-,superior,-,-,,,,
2020,estratificado,mujer,-,-,-,primaria o menos ,-,-,,,,
2020,estratificado,mujer,-,-,-,secundaria,-,-,,,,
2020,estratificado,mujer,-,-,-,media,-,-,,,,
2020,estratificado,mujer,-,-,-,superior,-,-,,,,
2020,estratificado,hombre,-,-,-,-,bajo,-,,,,
2020,estratificado,hombre,-,-,-,-,medio,-,,,,
2020,estratificado,hombre,-,-,-,-,alto,-,,,,
2020,estratificado,mujer,-,-,-,-,bajo,-,,,,
2020,estratificado,mujer,-,-,-,-,medio,-,,,,
2020,estratificado,mujer,-,-,-,-,alto,-,,,,
2020,estratificado,hombre,-,-,-,-,-,no,,,,
2020,estratificado,hombre,-,-,-,-,-,si,,,,
2020,estratificado,mujer,-,-,-,-,-,no,,,,
2020,estratificado,mujer,-,-,-,-,-,si,,,,
2021,nacional,-,-,-,-,-,-,-,2.9,2.5,3.3,2446000
2021,estratificado,hombre,-,-,-,-,-,-,3.5,2.8,4.3,1401000
2021,estratificado,mujer,-,-,-,-,-,-,2.4,2.0,2.9,1045000
2021,estratificado,-,20-39,-,-,-,-,-,3.5,2.9,4.4,1389000
2021,estratificado,-,40-59,-,-,-,-,-,3.0,2.4,3.7,876000
2021,estratificado,-,60+,-,-,-,-,-,1.1,.8,1.7,181000
2021,estratificado,-,-,rural,-,-,-,-,1.9,1.4,2.5,312000
2021,estratificado,-,-,urbano,-,-,-,-,3.1,2.7,3.7,2134000
2021,estratificado,-,-,-,norte ,-,-,-,1.1,0.7,1.8,193000
2021,estratificado,-,-,-,centro,-,-,-,3.6,2.9,4.6,1214000
2021,estratificado,-,-,-,cdmx,-,-,-,4.7,3.5,6.4,402000
2021,estratificado,-,-,-,sur,-,-,-,2.5,2.0,3.1,637000
2021,estratificado,-,-,-,-,primaria o menos ,-,-,2.1,1.5,2.8,481000
2021,estratificado,-,-,-,-,secundaria,-,-,3.5,2.7,4.4,816000
2021,estratificado,-,-,-,-,media,-,-,3.5,2.6,4.5,672000
2021,estratificado,-,-,-,-,superior,-,-,2.6,1.8,3.6,477000
2021,estratificado,-,-,-,-,-,bajo,-,3.2,2.6,4.0,811000
2021,estratificado,-,-,-,-,-,medio,-,3.0,2.2,3.9,795000
2021,estratificado,-,-,-,-,-,alto,-,2.6,2.0,3.3,839000
2021,estratificado,-,-,-,-,-,-,no,2.9,2.5,3.3,2240000
2021,estratificado,-,-,-,-,-,-,si,3.1,2.2,4.3,205000
2021,estratificado,hombre,20-39,-,-,-,-,-,4.5,3.4,5.9,848000
2021,estratificado,hombre,40-59,-,-,-,-,-,3.4,2.4,4.7,456000
2021,estratificado,hombre,60+,-,-,-,-,-,,,,
2021,estratificado,mujer,20-39,-,-,-,-,-,2.7,2.0,3.6,541000
2021,estratificado,mujer,40-59,-,-,-,-,-,2.6,2.0,3.5,419000
2021,estratificado,mujer,60+,-,-,-,-,-,,,,
2021,estratificado,hombre,-,rural,-,-,-,-,1.7,1.0,2.8,138000
2021,estratificado,hombre,-,urbano,-,-,-,-,3.9,3.1,4.9,1263000
2021,estratificado,mujer,-,rural,-,-,-,-,2.0,1.3,3.2,174000
2021,estratificado,mujer,-,urbano,-,-,-,-,2.4,2.0,3.0,870000
2021,estratificado,hombre,-,-,norte ,-,-,-,,,,
2021,estratificado,hombre,-,-,centro,-,-,-,,,,
2021,estratificado,hombre,-,-,cdmx,-,-,-,,,,
2021,estratificado,hombre,-,-,sur,-,-,-,,,,
2021,estratificado,mujer,-,-,norte ,-,-,-,,,,
2021,estratificado,mujer,-,-,centro,-,-,-,,,,
2021,estratificado,mujer,-,-,cdmx,-,-,-,,,,
2021,estratificado,mujer,-,-,sur,-,-,-,,,,
2021,estratificado,hombre,-,-,-,primaria o menos ,-,-,,,,
2021,estratificado,hombre,-,-,-,secundaria,-,-,,,,
2021,estratificado,hombre,-,-,-,media,-,-,,,,
2021,estratificado,hombre,-,-,-,superior,-,-,,,,
2021,estratificado,mujer,-,-,-,primaria o menos ,-,-,,,,
2021,estratificado,mujer,-,-,-,secundaria,-,-,,,,
2021,estratificado,mujer,-,-,-,media,-,-,,,,
