Desglose Geográfico,Desglose por sexo,edad_agrupada,Nombre de medidas,Todas las causas,Prom. Número de registros,Valores de medidas
Nacional,Ambos Sexos,15 a 19,Prob. neta de morir,Todas las causas no excluídas,1,0.004235351
Nacional,Ambos Sexos,10 a 14,Prob. neta de morir,Todas las causas no excluídas,1,0.001439808
Nacional,Ambos Sexos,5 a 9,Prob. neta de morir,Todas las causas no excluídas,1,0.001145983
Nacional,Ambos Sexos,1 a 4,Prob. neta de morir,Todas las causas no excluídas,1,0.002150242
Nacional,Ambos Sexos,Menor de 1,Prob. neta de morir,Todas las causas no excluídas,1,0.010426660
Nacional,Ambos Sexos,85 años y +,Impacto por grupo etario,Todas las causas no excluídas,1,0
Nacional,Ambos Sexos,80 a 84,Impacto por grupo etario,Todas las causas no excluídas,1,0
Nacional,Ambos Sexos,75 a 79,Impacto por grupo etario,Todas las causas no excluídas,1,1.376111536e-16
Nacional,Ambos Sexos,70 a 74,Impacto por grupo etario,Todas las causas no excluídas,1,-2.033152096e-16
Nacional,Ambos Sexos,65 a 69,Impacto por grupo etario,Todas las causas no excluídas,1,1.500536253e-15
Nacional,Ambos Sexos,60 a 64,Impacto por grupo etario,Todas las causas no excluídas,1,1.512646720e-15
Nacional,Ambos Sexos,55 a 59,Impacto por grupo etario,Todas las causas no excluídas,1,1.584690967e-16
Nacional,Ambos Sexos,50 a 54,Impacto por grupo etario,Todas las causas no excluídas,1,7.027237979e-16
Nacional,Ambos Sexos,45 a 49,Impacto por grupo etario,Todas las causas no excluídas,1,-4.815213958e-16
Nacional,Ambos Sexos,40 a 44,Impacto por grupo etario,Todas las causas no excluídas,1,1.778568476e-15
Nacional,Ambos Sexos,35 a 39,Impacto por grupo etario,Todas las causas no excluídas,1,7.131275964e-16
Nacional,Ambos Sexos,30 a 34,Impacto por grupo etario,Todas las causas no excluídas,1,-1.635545018e-16
Nacional,Ambos Sexos,25 a 29,Impacto por grupo etario,Todas las causas no excluídas,1,-4.005428720e-16
Nacional,Ambos Sexos,20 a 24,Impacto por grupo etario,Todas las causas no excluídas,1,8.630598290e-16
Nacional,Ambos Sexos,15 a 19,Impacto por grupo etario,Todas las causas no excluídas,1,0
Nacional,Ambos Sexos,10 a 14,Impacto por grupo etario,Todas las causas no excluídas,1,9.036220762e-16
Nacional,Ambos Sexos,5 a 9,Impacto por grupo etario,Todas las causas no excluídas,1,0
Nacional,Ambos Sexos,1 a 4,Impacto por grupo etario,Todas las causas no excluídas,1,-2.016892847e-16
Nacional,Ambos Sexos,Menor de 1,Impacto por grupo etario,Todas las causas no excluídas,1,2.329233723e-15
Nacional,Ambos Sexos,85 años y +,Prob. específica de morir por causa ,Todas las causas no excluídas,1,1
Nacional,Ambos Sexos,80 a 84,Prob. específica de morir por causa ,Todas las causas no excluídas,1,0
Nacional,Ambos Sexos,75 a 79,Prob. específica de morir por causa ,Todas las causas no excluídas,1,3.934602133e-17
Nacional,Ambos Sexos,70 a 74,Prob. específica de morir por causa ,Todas las causas no excluídas,1,-2.809342910e-17
Nacional,Ambos Sexos,65 a 69,Prob. específica de morir por causa ,Todas las causas no excluídas,1,1.448869852e-16
Nacional,Ambos Sexos,60 a 64,Prob. específica de morir por causa ,Todas las causas no excluídas,1,9.352449437e-17
Nacional,Ambos Sexos,55 a 59,Prob. específica de morir por causa ,Todas las causas no excluídas,1,6.275670345e-18
Nacional,Ambos Sexos,50 a 54,Prob. específica de morir por causa ,Todas las causas no excluídas,1,2.133998146e-17
Nacional,Ambos Sexos,45 a 49,Prob. específica de morir por causa ,Todas las causas no excluídas,1,-9.308387858e-18
Nacional,Ambos Sexos,40 a 44,Prob. específica de morir por causa ,Todas las causas no excluídas,1,2.829659239e-17
Nacional,Ambos Sexos,35 a 39,Prob. específica de morir por causa ,Todas las causas no excluídas,1,8.161459983e-18
Nacional,Ambos Sexos,30 a 34,Prob. específica de morir por causa ,Todas las causas no excluídas,1,-1.855250187e-18
Nacional,Ambos Sexos,25 a 29,Prob. específica de morir por causa ,Todas las causas no excluídas,1,-3.423984297e-18
Nacional,Ambos Sexos,20 a 24,Prob. específica de morir por causa ,Todas las causas no excluídas,1,5.842525450e-18
