gbd_scat;sexo;Egresos
I.D.01.x. Bajo peso al nacimiento y prematurez;Mujeres;146385
II.M.11.x. Otras malformaciones congénitas;Mujeres;140848
I.C.05.x. Parto obstruido;Mujeres;340236
II.D.01.x. Enfermedades endocrinas, metabólicas, hematológicas e inmunológicas (excepto diabetes mellitus);Mujeres;195489
I.C.02.x. Hemorragia obstétrica;Mujeres;360774
II.H.03.x. Otras enfermedades respiratorias;Mujeres;172776
III.A.05.x. Fractura de la pierna, inclusive del tobillo;Mujeres;141391
II.K.01.x. Enfermedades de la piel;Mujeres;204137
I.A.04.x. Enfermedades infecciosas intestinales;Mujeres;217672
II.G.06.x. Otras enfermedades cardiovasculares;Mujeres;233413
V.A.01.x. Causas mal definidas;Mujeres;235902
II.I.05.x. Hernia inguinal y femoral;Mujeres;136373
III.D.02.x. Otros traumatismos;Mujeres;138300
III.A.03.x. Fracturas del hombro, del brazo y del antebrazo;Mujeres;172975
I.D.03.x. Otras causas perinatales;Mujeres;250807
I.D.02.x. Asfixia y trauma al nacimiento;Mujeres;258292
I.B.01.b. Neumonía e influenza;Mujeres;318361
I.C.04.x. Edema proteinuria y trastornos hipertensivos en el embarazo;Mujeres;784892
II.I.04.x. Apendicitis;Mujeres;407329
II.B.01.x. Otros tumores;Mujeres;723105
II.C.01.x. Diabetes mellitus;Mujeres;491282
IV.F.01.x. Los demás factores que influyen en el estado de salud y contacto con los servicios de salud;Mujeres;560859
II.J.03.x. Otras enfermedades del sistema genito-urinario;Mujeres;781440
II.I.01.x. Colelitiasis y colecistitis;Mujeres;934676
II.I.06.x. Otras enfermedades digestivas;Mujeres;702343
II.J.01.x. Nefritis y nefrosis;Mujeres;751677
I.C.06.x. Aborto;Mujeres;1882366
I.C.07.x. Otras causas maternas;Mujeres;6478728
I.C.01.x. Parto único espontáneo;Mujeres;8547796
I.A.12.x. Encefalitis japonesa;Hombres;6
I.A.05.c. Difteria;Hombres;8
I.A.13.x. Tracoma;Hombres;8
I.A.09.d. Filariasis y dracontiasis;Hombres;19
II.E.13.x. Trastornos del sueño;Hombres;24
I.A.05.d. Sarampión;Hombres;23
I.A.14.c. Anquilostomiasis y necatoriasis;Hombres;42
I.A.14.b. Trichuriasis;Hombres;33
I.E.02.x. Síndrome congénito de deficiencia de yodo;Hombres;24
I.A.09.c. Leishmaniasis;Hombres;54
I.E.03.x. Deficiencia de Vitamina A;Hombres;38
I.A.02.b. Clamidia;Hombres;91
I.A.14.x. Otras infestaciones intestinales;Hombres;72
