año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_personas_con_diagnostico_de_hipertension,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_diagnostico_de_hipertension
2012,estratificado,-,-,-,-,-,-,no,,,,
2012,estratificado,-,-,-,-,-,-,si,,,,
2012,estratificado,hombre,20-39,-,-,-,-,-,3.7,2.6,5.1,132000
2012,estratificado,hombre,40-59,-,-,-,-,-,17.3,14.7,20.4,461000
2012,estratificado,hombre,60+,-,-,-,-,-,32.1,27.7,37.0,522000
2012,estratificado,mujer,20-39,-,-,-,-,-,6.9,5.7,8.3,352000
2012,estratificado,mujer,40-59,-,-,-,-,-,23.4,20.7,26.4,791000
2012,estratificado,mujer,60+,-,-,-,-,-,43.2,39.4,47.2,802000
2012,estratificado,hombre,-,rural,-,-,-,-,11.5,9.5,13.7,217000
2012,estratificado,hombre,-,urbano,-,-,-,-,15.0,13.2,17.1,898000
2012,estratificado,mujer,-,rural,-,-,-,-,17.7,15.5,20.1,413000
2012,estratificado,mujer,-,urbano,-,-,-,-,19.1,17.5,20.9,1531000
2012,estratificado,hombre,-,-,norte ,-,-,-,,,,
2012,estratificado,hombre,-,-,centro,-,-,-,,,,
2012,estratificado,hombre,-,-,cdmx,-,-,-,,,,
2012,estratificado,hombre,-,-,sur,-,-,-,,,,
2012,estratificado,mujer,-,-,norte ,-,-,-,,,,
2012,estratificado,mujer,-,-,centro,-,-,-,,,,
2012,estratificado,mujer,-,-,cdmx,-,-,-,,,,
2012,estratificado,mujer,-,-,sur,-,-,-,,,,
2012,estratificado,hombre,-,-,-,primaria o menos,-,-,17.6,15.4,20.0,604000
2012,estratificado,hombre,-,-,-,secundaria,-,-,10.8,8.2,14.2,235000
2012,estratificado,hombre,-,-,-,media,-,-,10.0,6.7,14.6,125000
2012,estratificado,hombre,-,-,-,superior,-,-,14.8,10.3,20.9,151000
2012,estratificado,mujer,-,-,-,primaria o menos,-,-,28.1,25.8,30.6,1363000
2012,estratificado,mujer,-,-,-,secundaria,-,-,11.9,9.7,14.5,302000
2012,estratificado,mujer,-,-,-,media,-,-,11.7,9.3,14.6,211000
2012,estratificado,mujer,-,-,-,superior,-,-,6.0,4.1,8.6,69000
2012,estratificado,hombre,-,-,-,-,bajo,-,10.9,9.1,13.0,293000
2012,estratificado,hombre,-,-,-,-,medio,-,14.6,12.0,17.6,406000
2012,estratificado,hombre,-,-,-,-,alto,-,17.3,14.2,20.9,417000
2012,estratificado,mujer,-,-,-,-,bajo,-,16.6,14.7,18.6,589000
2012,estratificado,mujer,-,-,-,-,medio,-,21.7,19.0,24.6,755000
2012,estratificado,mujer,-,-,-,-,alto,-,18.2,15.7,20.9,601000
2012,estratificado,hombre,-,-,-,-,-,no,,,,
2012,estratificado,hombre,-,-,-,-,-,si,,,,
2012,estratificado,mujer,-,-,-,-,-,no,,,,
2012,estratificado,mujer,-,-,-,-,-,si,,,,
2016,nacional ,-,-,-,-,-,-,-,15.3,13.4,17.5,10399000
2016,estratificado,hombre,-,-,-,-,-,-,12.1,9.4,15.5,4009000
2016,estratificado,mujer,-,-,-,-,-,-,18.4,16.0,21.2,6390000
2016,estratificado,-,20-39,-,-,-,-,-,,,,
2016,estratificado,-,40-59,-,-,-,-,-,19.1,16.6,21.9,4255000
2016,estratificado,-,60+,-,-,-,-,-,38.0,33.5,42.8,4378000
2016,estratificado,-,-,rural,-,-,-,-,12.9,11.0,15.2,2005000
2016,estratificado,-,-,urbano,-,-,-,-,16.0,13.6,18.8,8394000
2016,estratificado,-,-,-,norte ,-,-,-,15.6,11.7,20.5,2205000
2016,estratificado,-,-,-,centro,-,-,-,16.8,12.7,21.8,3776000
2016,estratificado,-,-,-,cdmx,-,-,-,12.5,8.8,17.4,1492000
2016,estratificado,-,-,-,sur,-,-,-,15.3,13.1,17.7,2926000
2016,estratificado,-,-,-,-,primaria o menos,-,-,24.4,21.4,27.7,5711000
