año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_personas_con_sobrepeso,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_sobrepeso
2018,estratificado,-,40-59,-,-,-,-,-,39.7,37.5,41.8," 11,635,000 "
2018,estratificado,-,60+,-,-,-,-,-,40.7,37.7,43.9," 7,010,000 "
2018,estratificado,-,-,rural,-,-,-,-,38.6,36.9,40.4," 6,439,000 "
2018,estratificado,-,-,urbano,-,-,-,-,39.2,37.7,40.8," 24,160,000 "
2018,estratificado,-,-,-,norte ,-,-,-,35.6,33.3,37.9," 5,642,000 "
2018,estratificado,-,-,-,centro,-,-,-,40.7,38.8,42.6," 10,203,000 "
2018,estratificado,-,-,-,cdmx,-,-,-,40.4,35.4,45.6," 5,444,000 "
2018,estratificado,-,-,-,sur,-,-,-,39.1,37.3,40.9," 9,310,000 "
2018,estratificado,-,-,-,-,primaria o menos,-,-,37.9,36.0,39.8," 9,922,000 "
2018,estratificado,-,-,-,-,secundaria,-,-,39.6,37.5,41.8," 8,544,000 "
2018,estratificado,-,-,-,-,media,-,-,38.0,35.1,41.0," 6,637,000 "
2018,estratificado,-,-,-,-,superior,-,-,42.1,38.9,45.5," 5,496,000 "
2018,estratificado,-,-,-,-,-,bajo,-,38.9,37.1,40.8," 9,048,000 "
2018,estratificado,-,-,-,-,-,medio,-,37.3,35.2,39.4," 9,598,000 "
2018,estratificado,-,-,-,-,-,alto,-,40.9,38.5,43.3," 11,953,000 "
2018,estratificado,-,-,-,-,-,-,no,39.4,38.0,40.7," 28,194,000 "
2018,estratificado,-,-,-,-,-,-,si,36.2,31.8,40.8," 2,405,000 "
2018,estratificado,hombre,20-39,-,-,-,-,-,39.6,36.5,42.7," 5,211,000 "
2018,estratificado,hombre,40-59,-,-,-,-,-,44.7,41.7,47.8," 5,512,000 "
2018,estratificado,hombre,60+,-,-,-,-,-,44.2,40.1,48.5," 3,249,000 "
2018,estratificado,mujer,20-39,-,-,-,-,-,36.4,34.0,38.8," 6,743,000 "
2018,estratificado,mujer,40-59,-,-,-,-,-,36.0,33.3,38.9," 6,123,000 "
2018,estratificado,mujer,60+,-,-,-,-,-,38.2,34.1,42.3," 3,762,000 "
2018,estratificado,hombre,-,rural,-,-,-,-,41.7,39.0,44.6," 3,140,000 "
2018,estratificado,hombre,-,urbano,-,-,-,-,42.8,40.5,45.1," 10,831,000 "
