año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_personas_con_obesidad,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_obesidad
2016,estratificado,mujer,-,urbano,-,-,-,-,39.2,36.1,42.4," 10,900,000 "
2016,estratificado,hombre,-,-,norte ,-,-,-,33.0,23.6,44.0," 2,347,000 "
2016,estratificado,hombre,-,-,centro,-,-,-,23.2,16.7,31.2," 2,536,000 "
2016,estratificado,hombre,-,-,cdmx,-,-,-,25.3,16.2,37.1," 1,430,000 "
2016,estratificado,hombre,-,-,sur,-,-,-,30.7,24.4,37.9," 2,918,000 "
2016,estratificado,mujer,-,-,norte ,-,-,-,42.8,36.9,49.0," 3,134,000 "
2016,estratificado,mujer,-,-,centro,-,-,-,35.5,31.2,39.9," 4,209,000 "
2016,estratificado,mujer,-,-,cdmx,-,-,-,40.4,34.1,47.0," 2,603,000 "
2016,estratificado,mujer,-,-,sur,-,-,-,38.1,33.9,42.5," 3,843,000 "
2016,estratificado,hombre,-,-,-,primaria o menos,-,-,25.6,22.0,29.6," 2,847,000 "
2016,estratificado,hombre,-,-,-,secundaria,-,-,24.6,19.6,30.5," 2,305,000 "
2016,estratificado,hombre,-,-,-,media,-,-,32.6,25.0,41.3," 2,239,000 "
2016,estratificado,hombre,-,-,-,superior,-,-,31.3,18.9,47.2," 1,841,000 "
2016,estratificado,mujer,-,-,-,primaria o menos,-,-,41.4,37.7,45.2," 5,238,000 "
2016,estratificado,mujer,-,-,-,secundaria,-,-,43.4,38.5,48.4," 4,834,000 "
2016,estratificado,mujer,-,-,-,media,-,-,30.1,25.6,35.2," 2,001,000 "
2016,estratificado,mujer,-,-,-,superior,-,-,32.3,21.9,44.9," 1,717,000 "
2016,estratificado,hombre,-,-,-,-,bajo,-,19.4,15.9,23.4," 1,364,000 "
2016,estratificado,hombre,-,-,-,-,medio,-,26.8,22.0,32.3," 2,628,000 "
2016,estratificado,hombre,-,-,-,-,alto,-,32.0,25.4,39.4," 5,239,000 "
2016,estratificado,mujer,-,-,-,-,bajo,-,37.7,33.6,42.1," 2,772,000 "
2016,estratificado,mujer,-,-,-,-,medio,-,40.9,36.3,45.7," 4,448,000 "
2016,estratificado,mujer,-,-,-,-,alto,-,37.5,33.8,41.3," 6,570,000 "
2016,estratificado,hombre,-,-,-,-,-,no,,,,
2016,estratificado,hombre,-,-,-,-,-,si,,,,
2016,estratificado,mujer,-,-,-,-,-,no,,,,
2016,estratificado,mujer,-,-,-,-,-,si,,,,
2018,nacional ,-,-,-,-,-,-,-,36.1,34.9,37.4," 28,285,000 "
2018,estratificado,hombre,-,-,-,-,-,-,30.6,28.9,32.3," 10,041,000 "
2018,estratificado,mujer,-,-,-,-,-,-,40.2,38.5,41.9," 18,244,000 "
2018,estratificado,-,20-39,-,-,-,-,-,31.0,29.3,32.7," 9,832,000 "
2018,estratificado,-,40-59,-,-,-,-,-,43.1,40.9,45.3," 12,640,000 "
2018,estratificado,-,60+,-,-,-,-,-,33.8,31.0,36.7," 5,813,000 "
2018,estratificado,-,-,rural,-,-,-,-,31.9,30.1,33.7," 5,318,000 "
2018,estratificado,-,-,urbano,-,-,-,-,37.3,35.8,38.8," 22,967,000 "
2018,estratificado,-,-,-,norte ,-,-,-,41.7,39.4,44.1," 6,617,000 "
2018,estratificado,-,-,-,centro,-,-,-,33.1,31.3,35.0," 8,307,000 "
2018,estratificado,-,-,-,cdmx,-,-,-,35.2,30.7,40.1," 4,752,000 "
2018,estratificado,-,-,-,sur,-,-,-,36.1,34.3,38.0," 8,609,000 "
2018,estratificado,-,-,-,-,primaria o menos,-,-,36.7,34.7,38.9," 9,617,000 "
2018,estratificado,-,-,-,-,secundaria,-,-,39.4,37.2,41.6," 8,489,000 "
2018,estratificado,-,-,-,-,media,-,-,35.0,32.3,37.7," 6,107,000 "
2018,estratificado,-,-,-,-,superior,-,-,31.2,28.3,34.3," 4,072,000 "
2018,estratificado,-,-,-,-,-,bajo,-,33.5,31.6,35.5," 7,797,000 "
2018,estratificado,-,-,-,-,-,medio,-,38.4,36.3,40.6," 9,888,000 "
2018,estratificado,-,-,-,-,-,alto,-,36.3,34.0,38.6," 10,600,000 "
2018,estratificado,-,-,-,-,-,-,no,35.9,34.6,37.2," 25,718,000 "
2018,estratificado,-,-,-,-,-,-,si,38.6,34.0,43.5," 2,567,000 "
2018,estratificado,hombre,20-39,-,-,-,-,-,28.7,26.2,31.3," 3,778,000 "
2018,estratificado,hombre,40-59,-,-,-,-,-,35.5,32.5,38.5," 4,369,000 "
2018,estratificado,hombre,60+,-,-,-,-,-,25.8,22.2,29.6," 1,893,000 "
2018,estratificado,mujer,20-39,-,-,-,-,-,32.6,30.4,35.0," 6,054,000 "
2018,estratificado,mujer,40-59,-,-,-,-,-,48.6,45.7,51.6," 8,270,000 "
2018,estratificado,mujer,60+,-,-,-,-,-,39.8,35.9,43.8," 3,920,000 "
2018,estratificado,hombre,-,rural,-,-,-,-,25.0,22.9,27.3," 1,882,000 "
2018,estratificado,hombre,-,urbano,-,-,-,-,32.2,30.1,34.4," 8,159,000 "
2018,estratificado,mujer,-,rural,-,-,-,-,37.5,35.2,39.9," 3,436,000 "
2018,estratificado,mujer,-,urbano,-,-,-,-,40.8,38.8,42.9," 14,809,000 "
2018,estratificado,hombre,-,-,norte ,-,-,-,36.3,32.9,39.8," 2,465,000 "
2018,estratificado,hombre,-,-,centro,-,-,-,26.7,24.4,29.1," 2,969,000 "
2018,estratificado,hombre,-,-,cdmx,-,-,-,32.1,25.5,39.5," 1,677,000 "
2018,estratificado,hombre,-,-,sur,-,-,-,30.2,27.8,32.7," 2,930,000 "
2018,estratificado,mujer,-,-,norte ,-,-,-,45.8,42.7,48.9," 4,152,000 "
2018,estratificado,mujer,-,-,centro,-,-,-,38.3,35.7,40.9," 5,338,000 "
2018,estratificado,mujer,-,-,cdmx,-,-,-,37.2,31.1,43.7," 3,075,000 "
2018,estratificado,mujer,-,-,sur,-,-,-,40.2,37.7,42.7," 5,679,000 "
2018,estratificado,hombre,-,-,-,primaria o menos,-,-,26.1,23.5,28.8," 2,726,000 "
2018,estratificado,hombre,-,-,-,secundaria,-,-,32.8,29.4,36.3," 2,918,000 "
2018,estratificado,hombre,-,-,-,media,-,-,31.2,27.4,35.3," 2,253,000 "
2018,estratificado,hombre,-,-,-,superior,-,-,34.2,29.9,38.9," 2,143,000 "
2018,estratificado,mujer,-,-,-,primaria o menos,-,-,43.8,41.1,46.6," 6,891,000 "
2018,estratificado,mujer,-,-,-,secundaria,-,-,44.0,40.9,47.0," 5,571,000 "
2018,estratificado,mujer,-,-,-,media,-,-,37.6,34.0,41.4," 3,853,000 "
2018,estratificado,mujer,-,-,-,superior,-,-,28.4,24.6,32.6," 1,929,000 "
2018,estratificado,hombre,-,-,-,-,bajo,-,25.3,22.8,27.9," 2,515,000 "
2018,estratificado,hombre,-,-,-,-,medio,-,29.0,26.1,32.0," 3,041,000 "
2018,estratificado,hombre,-,-,-,-,alto,-,36.2,32.9,39.6," 4,485,000 "
2018,estratificado,mujer,-,-,-,-,bajo,-,39.7,37.2,42.3," 5,283,000 "
2018,estratificado,mujer,-,-,-,-,medio,-,44.8,42.0,47.7," 6,846,000 "
2018,estratificado,mujer,-,-,-,-,alto,-,36.3,33.3,39.4," 6,115,000 "
2018,estratificado,hombre,-,-,-,-,-,no,30.9,29.1,32.7," 9,369,000 "
2018,estratificado,hombre,-,-,-,-,-,si,27.1,21.3,33.8," 672,000 "
2018,estratificado,mujer,-,-,-,-,-,no,39.6,37.9,41.4," 16,349,000 "
2018,estratificado,mujer,-,-,-,-,-,si,45.5,39.4,51.8," 1,895,000 "
2020,nacional ,-,-,-,-,-,-,-,36.0,34.8,37.3," 29,961,000 "
2020,estratificado,hombre,-,-,-,-,-,-,31.5,29.8,33.3," 12,621,000 "
2020,estratificado,mujer,-,-,-,-,-,-,40.2,38.5,41.9," 17,340,000 "
2020,estratificado,-,20-39,-,-,-,-,-,32.0,30.2,33.9," 11,864,000 "
2020,estratificado,-,40-59,-,-,-,-,-,42.5,40.5,44.4," 12,656,000 "
2020,estratificado,-,60+,-,-,-,-,-,33.3,30.8,35.8," 5,441,000 "
2020,estratificado,-,-,rural,-,-,-,-,33.9,30.8,37.2," 5,527,000 "
2020,estratificado,-,-,urbano,-,-,-,-,36.5,35.2,37.8," 24,434,000 "
2020,estratificado,-,-,-,norte ,-,-,-,40.7,38.0,43.5," 6,908,000 "
2020,estratificado,-,-,-,centro,-,-,-,33.9,31.8,35.9," 10,886,000 "
2020,estratificado,-,-,-,cdmx,-,-,-,32.0,29.0,35.2," 2,711,000 "
2020,estratificado,-,-,-,sur,-,-,-,36.9,34.6,39.3," 9,456,000 "
2020,estratificado,-,-,-,-,primaria o menos,-,-,37.0,34.9,39.2," 8,775,000 "
2020,estratificado,-,-,-,-,secundaria,-,-,39.8,37.4,42.2," 8,714,000 "
2020,estratificado,-,-,-,-,media,-,-,34.2,32.0,36.5," 6,444,000 "
2020,estratificado,-,-,-,-,superior,-,-,32.2,29.6,34.8," 6,028,000 "
2020,estratificado,-,-,-,-,-,bajo,-,34.3,32.0,36.6," 8,809,000 "
2020,estratificado,-,-,-,-,-,medio,-,38.2,36.2,40.3," 10,004,000 "
2020,estratificado,-,-,-,-,-,alto,-,35.6,33.7,37.6," 11,147,000 "
2020,estratificado,-,-,-,-,-,-,no,,,,
2020,estratificado,-,-,-,-,-,-,si,,,,
