año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_diagnostico_de_enfermedad_renal,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_diagnostico_de_enfermedad_renal
2012,estratificado,hombre,-,-,cdmx,-,-,-,,,,
2012,estratificado,hombre,-,-,sur,-,-,-,,,,
2012,estratificado,mujer,-,-,norte ,-,-,-,,,,
2012,estratificado,mujer,-,-,centro,-,-,-,,,,
2012,estratificado,mujer,-,-,cdmx,-,-,-,,,,
2012,estratificado,mujer,-,-,sur,-,-,-,,,,
2012,estratificado,hombre,-,-,-,primaria o menos,-,-,,,,
2012,estratificado,hombre,-,-,-,secundaria,-,-,,,,
2012,estratificado,hombre,-,-,-,media,-,-,,,,
2012,estratificado,hombre,-,-,-,superior,-,-,,,,
2012,estratificado,mujer,-,-,-,primaria o menos,-,-,,,,
2012,estratificado,mujer,-,-,-,secundaria,-,-,,,,
2012,estratificado,mujer,-,-,-,media,-,-,,,,
2012,estratificado,mujer,-,-,-,superior,-,-,,,,
2012,estratificado,hombre,-,-,-,-,bajo,-,,,,
2012,estratificado,hombre,-,-,-,-,medio,-,,,,
2012,estratificado,hombre,-,-,-,-,alto,-,,,,
2012,estratificado,mujer,-,-,-,-,bajo,-,,,,
2012,estratificado,mujer,-,-,-,-,medio,-,,,,
2012,estratificado,mujer,-,-,-,-,alto,-,,,,
2012,estratificado,hombre,-,-,-,-,-,no,,,,
2012,estratificado,hombre,-,-,-,-,-,si,,,,
2012,estratificado,mujer,-,-,-,-,-,no,,,,
2012,estratificado,mujer,-,-,-,-,-,si,,,,
2016,nacional,-,-,-,-,-,-,-,28.9,26.9,31.0,20557000
2016,estratificado,hombre,-,-,-,-,-,-,15.8,13.2,18.9,5374000
2016,estratificado,mujer,-,-,-,-,-,-,40.8,38.2,43.5,15183000
2016,estratificado,-,20-39,-,-,-,-,-,27.7,24.8,30.8,10042000
2016,estratificado,-,40-59,-,-,-,-,-,29.6,26.9,32.4,6819000
2016,estratificado,-,60+,-,-,-,-,-,31.2,27.5,35.1,3696000
2016,estratificado,-,-,rural,-,-,-,-,24.6,22.1,27.4,4021000
2016,estratificado,-,-,urbano,-,-,-,-,30.2,27.6,32.8,16536000
2016,estratificado,-,-,-,norte ,-,-,-,26.7,22.7,31.1,3951000
2016,estratificado,-,-,-,centro,-,-,-,29.2,25.1,33.7,6901000
2016,estratificado,-,-,-,cdmx,-,-,-,30.3,24.8,36.4,3757000
2016,estratificado,-,-,-,sur,-,-,-,29.3,26.5,32.2,5948000
2016,estratificado,-,-,-,-,primaria o menos,-,-,27.2,24.5,30.0,6597000
2016,estratificado,-,-,-,-,secundaria,-,-,28.9,25.5,32.6,6150000
2016,estratificado,-,-,-,-,media,-,-,31.0,26.2,36.2,4427000
2016,estratificado,-,-,-,-,superior,-,-,29.8,24.7,35.5,3383000
2016,estratificado,-,-,-,-,-,bajo,-,25.4,22.7,28.3,3733000
2016,estratificado,-,-,-,-,-,medio,-,27.3,24.5,30.4,5809000
2016,estratificado,-,-,-,-,-,alto,-,31.3,28.0,34.7,11014000
2016,estratificado,-,-,-,-,-,-,no,,,,
2016,estratificado,-,-,-,-,-,-,si,,,,
2016,estratificado,hombre,20-39,-,-,-,-,-,13.2,9.2,18.6,2329000
2016,estratificado,hombre,40-59,-,-,-,-,-,16.2,13.1,20.0,1747000
2016,estratificado,hombre,60+,-,-,-,-,-,23.2,18.1,29.2,1299000
2016,estratificado,mujer,20-39,-,-,-,-,-,41.4,37.6,45.2,7713000
2016,estratificado,mujer,40-59,-,-,-,-,-,41.2,37.4,45.2,5072000
2016,estratificado,mujer,60+,-,-,-,-,-,38.4,33.5,43.7,2397000
2016,estratificado,hombre,-,rural,-,-,-,-,14.2,11.3,17.6,1135000
2016,estratificado,hombre,-,urbano,-,-,-,-,16.3,13.1,20.2,4239000
2016,estratificado,mujer,-,rural,-,-,-,-,34.7,31.1,38.5,2886000
2016,estratificado,mujer,-,urbano,-,-,-,-,42.6,39.4,45.9,12297000
2016,estratificado,hombre,-,-,norte ,-,-,-,,,,
2016,estratificado,hombre,-,-,centro,-,-,-,,,,
2016,estratificado,hombre,-,-,cdmx,-,-,-,,,,
2016,estratificado,hombre,-,-,sur,-,-,-,,,,
2016,estratificado,mujer,-,-,norte ,-,-,-,,,,
2016,estratificado,mujer,-,-,centro,-,-,-,,,,
2016,estratificado,mujer,-,-,cdmx,-,-,-,,,,
2016,estratificado,mujer,-,-,sur,-,-,-,,,,
2016,estratificado,hombre,-,-,-,primaria o menos,-,-,,,,
2016,estratificado,hombre,-,-,-,secundaria,-,-,,,,
2016,estratificado,hombre,-,-,-,media,-,-,,,,
2016,estratificado,hombre,-,-,-,superior,-,-,,,,
2016,estratificado,mujer,-,-,-,primaria o menos,-,-,,,,
2016,estratificado,mujer,-,-,-,secundaria,-,-,,,,
2016,estratificado,mujer,-,-,-,media,-,-,,,,
2016,estratificado,mujer,-,-,-,superior,-,-,,,,
2016,estratificado,hombre,-,-,-,-,bajo,-,14.2,11.0,18.2,1003000
2016,estratificado,hombre,-,-,-,-,medio,-,13.9,10.9,17.4,1400000
2016,estratificado,hombre,-,-,-,-,alto,-,17.7,13.4,23.0,2971000
2016,estratificado,mujer,-,-,-,-,bajo,-,35.8,31.9,39.9,2730000
2016,estratificado,mujer,-,-,-,-,medio,-,39.6,34.9,44.5,4409000
2016,estratificado,mujer,-,-,-,-,alto,-,43.7,39.5,48.0,8043000
2016,estratificado,hombre,-,-,-,-,-,no,,,,
2016,estratificado,hombre,-,-,-,-,-,si,,,,
2016,estratificado,mujer,-,-,-,-,-,no,,,,
2016,estratificado,mujer,-,-,-,-,-,si,,,,
2018,nacional,-,-,-,-,-,-,-,14.9,14.4,15.4,12311000
2018,estratificado,hombre,-,-,-,-,-,-,9.3,8.7,9.9,3485000
2018,estratificado,mujer,-,-,-,-,-,-,19.5,18.7,20.3,8826000
2018,estratificado,-,20-39,-,-,-,-,-,13.4,12.7,14.2,4953000
2018,estratificado,-,40-59,-,-,-,-,-,15.9,15.0,16.8,4710000
2018,estratificado,-,60+,-,-,-,-,-,16.3,15.2,17.5,2648000
2018,estratificado,-,-,rural,-,-,-,-,14.0,13.0,15.1,2460000
2018,estratificado,-,-,urbano,-,-,-,-,15.1,14.5,15.7,9850000
2018,estratificado,-,-,-,norte ,-,-,-,14.7,13.8,15.6,2511000
2018,estratificado,-,-,-,centro,-,-,-,12.3,11.4,13.2,3564000
2018,estratificado,-,-,-,cdmx,-,-,-,17.6,15.5,19.8,2007000
2018,estratificado,-,-,-,sur,-,-,-,16.7,15.9,17.6,4229000
2018,estratificado,-,-,-,-,primaria o menos,-,-,14.4,13.6,15.4,3747000
2018,estratificado,-,-,-,-,secundaria,-,-,15.4,14.5,16.4,3481000
2018,estratificado,-,-,-,-,media,-,-,15.2,14.1,16.4,2736000
2018,estratificado,-,-,-,-,superior,-,-,14.5,13.3,15.6,2347000
2018,estratificado,-,-,-,-,-,bajo,-,14.4,13.6,15.3,3474000
2018,estratificado,-,-,-,-,-,medio,-,15.5,14.6,16.5,4125000
2018,estratificado,-,-,-,-,-,alto,-,14.7,13.8,15.5,4711000
2018,estratificado,-,-,-,-,-,-,no,14.0,13.4,14.5,10623000
2018,estratificado,-,-,-,-,-,-,si,25.1,23.0,27.4,1687000
2018,estratificado,hombre,20-39,-,-,-,-,-,6.7,6.0,7.6,1155000
2018,estratificado,hombre,40-59,-,-,-,-,-,11.1,10.0,12.2,1481000
2018,estratificado,hombre,60+,-,-,-,-,-,12.1,10.7,13.6,849000
2018,estratificado,mujer,20-39,-,-,-,-,-,19.2,18.1,20.4,3798000
2018,estratificado,mujer,40-59,-,-,-,-,-,19.9,18.6,21.2,3229000
2018,estratificado,mujer,60+,-,-,-,-,-,19.5,18.0,21.2,1799000
2018,estratificado,hombre,-,rural,-,-,-,-,8.2,7.3,9.2,672000
2018,estratificado,hombre,-,urbano,-,-,-,-,9.6,8.9,10.3,2813000
2018,estratificado,mujer,-,rural,-,-,-,-,19.0,17.5,20.7,1789000
2018,estratificado,mujer,-,urbano,-,-,-,-,19.6,18.7,20.6,7037000
2018,estratificado,hombre,-,-,norte ,-,-,-,9.1,8.1,10.2,719000
2018,estratificado,hombre,-,-,centro,-,-,-,7.3,6.5,8.2,977000
2018,estratificado,hombre,-,-,cdmx,-,-,-,11.6,9.3,14.4,589000
2018,estratificado,hombre,-,-,sur,-,-,-,10.7,9.7,11.7,1200000
2018,estratificado,mujer,-,-,norte ,-,-,-,19.5,18.2,20.9,1792000
2018,estratificado,mujer,-,-,centro,-,-,-,16.5,15.2,17.9,2586000
2018,estratificado,mujer,-,-,cdmx,-,-,-,22.3,19.4,25.6,1418000
2018,estratificado,mujer,-,-,sur,-,-,-,21.6,20.4,23.0,3029000
2018,estratificado,hombre,-,-,-,primaria o menos,-,-,9.2,8.2,10.2,1024000
2018,estratificado,hombre,-,-,-,secundaria,-,-,8.5,7.5,9.7,872000
2018,estratificado,hombre,-,-,-,media,-,-,9.0,7.7,10.4,725000
2018,estratificado,hombre,-,-,-,superior,-,-,10.7,9.4,12.2,864000
2018,estratificado,mujer,-,-,-,primaria o menos,-,-,18.5,17.2,19.8,2724000
2018,estratificado,mujer,-,-,-,secundaria,-,-,21.1,19.6,22.5,2609000
2018,estratificado,mujer,-,-,-,media,-,-,20.3,18.6,22.1,2011000
2018,estratificado,mujer,-,-,-,superior,-,-,18.2,16.5,20.0,1482000
2018,estratificado,hombre,-,-,-,-,bajo,-,8.1,7.2,9.1,888000
2018,estratificado,hombre,-,-,-,-,medio,-,9.5,8.5,10.6,1131000
2018,estratificado,hombre,-,-,-,-,alto,-,10.0,9.0,11.1,1466000
2018,estratificado,mujer,-,-,-,-,bajo,-,19.8,18.4,21.1,2586000
2018,estratificado,mujer,-,-,-,-,medio,-,20.5,19.1,21.9,2994000
2018,estratificado,mujer,-,-,-,-,alto,-,18.6,17.3,19.9,3245000
2018,estratificado,hombre,-,-,-,-,-,no,8.7,8.1,9.3,3022000
2018,estratificado,hombre,-,-,-,-,-,si,17.2,14.7,20.1,463000
2018,estratificado,mujer,-,-,-,-,-,no,18.5,17.7,19.3,7601000
2018,estratificado,mujer,-,-,-,-,-,si,30.4,27.4,33.5,1225000
2020,nacional,-,-,-,-,-,-,-,,,,
2020,estratificado,hombre,-,-,-,-,-,-,,,,
2020,estratificado,mujer,-,-,-,-,-,-,,,,
2020,estratificado,-,20-39,-,-,-,-,-,,,,
2020,estratificado,-,40-59,-,-,-,-,-,,,,
2020,estratificado,-,60+,-,-,-,-,-,,,,
2020,estratificado,-,-,rural,-,-,-,-,,,,
2020,estratificado,-,-,urbano,-,-,-,-,,,,
2020,estratificado,-,-,-,norte ,-,-,-,,,,
2020,estratificado,-,-,-,centro,-,-,-,,,,
2020,estratificado,-,-,-,cdmx,-,-,-,,,,
2020,estratificado,-,-,-,sur,-,-,-,,,,
2020,estratificado,-,-,-,-,primaria o menos,-,-,,,,
2020,estratificado,-,-,-,-,secundaria,-,-,,,,
2020,estratificado,-,-,-,-,media,-,-,,,,
2020,estratificado,-,-,-,-,superior,-,-,,,,
2020,estratificado,-,-,-,-,-,bajo,-,,,,
2020,estratificado,-,-,-,-,-,medio,-,,,,
2020,estratificado,-,-,-,-,-,alto,-,,,,
2020,estratificado,-,-,-,-,-,-,no,,,,
2020,estratificado,-,-,-,-,-,-,si,,,,
2020,estratificado,hombre,20-39,-,-,-,-,-,,,,
2020,estratificado,hombre,40-59,-,-,-,-,-,,,,
2020,estratificado,hombre,60+,-,-,-,-,-,,,,
2020,estratificado,mujer,20-39,-,-,-,-,-,,,,
2020,estratificado,mujer,40-59,-,-,-,-,-,,,,
2020,estratificado,mujer,60+,-,-,-,-,-,,,,
2020,estratificado,hombre,-,rural,-,-,-,-,,,,
2020,estratificado,hombre,-,urbano,-,-,-,-,,,,
2020,estratificado,mujer,-,rural,-,-,-,-,,,,
2020,estratificado,mujer,-,urbano,-,-,-,-,,,,
2020,estratificado,hombre,-,-,norte ,-,-,-,,,,
2020,estratificado,hombre,-,-,centro,-,-,-,,,,
2020,estratificado,hombre,-,-,cdmx,-,-,-,,,,
2020,estratificado,hombre,-,-,sur,-,-,-,,,,
2020,estratificado,mujer,-,-,norte ,-,-,-,,,,
2020,estratificado,mujer,-,-,centro,-,-,-,,,,
2020,estratificado,mujer,-,-,cdmx,-,-,-,,,,
2020,estratificado,mujer,-,-,sur,-,-,-,,,,
2020,estratificado,hombre,-,-,-,primaria o menos,-,-,,,,
2020,estratificado,hombre,-,-,-,secundaria,-,-,,,,
2020,estratificado,hombre,-,-,-,media,-,-,,,,
2020,estratificado,hombre,-,-,-,superior,-,-,,,,
2020,estratificado,mujer,-,-,-,primaria o menos,-,-,,,,
2020,estratificado,mujer,-,-,-,secundaria,-,-,,,,
2020,estratificado,mujer,-,-,-,media,-,-,,,,
2020,estratificado,mujer,-,-,-,superior,-,-,,,,
2020,estratificado,hombre,-,-,-,-,bajo,-,,,,
2020,estratificado,hombre,-,-,-,-,medio,-,,,,
2020,estratificado,hombre,-,-,-,-,alto,-,,,,
2020,estratificado,mujer,-,-,-,-,bajo,-,,,,
2020,estratificado,mujer,-,-,-,-,medio,-,,,,
2020,estratificado,mujer,-,-,-,-,alto,-,,,,
2020,estratificado,hombre,-,-,-,-,-,no,,,,
2020,estratificado,hombre,-,-,-,-,-,si,,,,
2020,estratificado,mujer,-,-,-,-,-,no,,,,
2020,estratificado,mujer,-,-,-,-,-,si,,,,
2021,nacional,-,-,-,-,-,-,-,14.9,14.1,15.8,12656000
2021,estratificado,hombre,-,-,-,-,-,-,8.5,7.5,9.7,3457000
2021,estratificado,mujer,-,-,-,-,-,-,20.8,19.5,22.1,9199000
2021,estratificado,-,20-39,-,-,-,-,-,14.2,13.0,15.5,5589000
2021,estratificado,-,40-59,-,-,-,-,-,16.1,14.8,17.5,4754000
2021,estratificado,-,60+,-,-,-,-,-,14.4,12.8,16.2,2312000
2021,estratificado,-,-,rural,-,-,-,-,14.2,12.5,16.0,2394000
2021,estratificado,-,-,urbano,-,-,-,-,15.1,14.2,16.0,10262000
2021,estratificado,-,-,-,norte ,-,-,-,11.7,10.0,13.6,2006000
2021,estratificado,-,-,-,centro,-,-,-,14.9,13.8,16.2,5003000
2021,estratificado,-,-,-,cdmx,-,-,-,16.5,14.4,18.9,1410000
2021,estratificado,-,-,-,sur,-,-,-,16.5,14.9,18.3,4236000
2021,estratificado,-,-,-,-,primaria o menos,-,-,13.7,12.4,15.1,3194000
2021,estratificado,-,-,-,-,secundaria,-,-,15.1,13.7,16.6,3556000
2021,estratificado,-,-,-,-,media,-,-,16.2,14.4,18.3,3159000
2021,estratificado,-,-,-,-,superior,-,-,14.8,13.0,16.9,2746000
2021,estratificado,-,-,-,-,-,bajo,-,14.1,12.9,15.6,3587000
2021,estratificado,-,-,-,-,-,medio,-,15.8,14.4,17.4,4236000
2021,estratificado,-,-,-,-,-,alto,-,14.8,13.5,16.2,4833000
2021,estratificado,-,-,-,-,-,-,no,14.1,13.3,15.0,11007000
2021,estratificado,-,-,-,-,-,-,si,24.5,21.4,27.9,1649000
2021,estratificado,hombre,20-39,-,-,-,-,-,7.0,5.5,8.9,1334000
2021,estratificado,hombre,40-59,-,-,-,-,-,9.6,8.1,11.4,1306000
2021,estratificado,hombre,60+,-,-,-,-,-,10.1,8.4,12.2,817000
2021,estratificado,mujer,20-39,-,-,-,-,-,20.9,19.0,22.9,4255000
2021,estratificado,mujer,40-59,-,-,-,-,-,21.7,19.8,23.6,3448000
2021,estratificado,mujer,60+,-,-,-,-,-,18.8,16.3,21.6,1495000
2021,estratificado,hombre,-,rural,-,-,-,-,7.7,6.1,9.7,637000
2021,estratificado,hombre,-,urbano,-,-,-,-,8.7,7.5,10.1,2820000
2021,estratificado,mujer,-,rural,-,-,-,-,20.5,17.9,23.3,1757000
2021,estratificado,mujer,-,urbano,-,-,-,-,20.9,19.5,22.3,7442000
2021,estratificado,hombre,-,-,norte ,-,-,-,5.7,4.0,8.1,476000
2021,estratificado,hombre,-,-,centro,-,-,-,9.1,7.8,10.6,1480000
